Date,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_Volume,Silver_Close,Silver_Volume,SP500_Close,SP500_Volume,EUR_USD,Oil_Close,Gold_SMA_20,Gold_SMA_50,Gold_EMA_20,Gold_RSI_14,Gold_MACD,Gold_MACD_Signal,Gold_Returns,Gold_Volatility,Gold_Lag_1,Gold_Lag_2,Gold_Lag_3,Gold_Lag_5,Gold_Lag_7,Silver_SMA_20,Silver_Returns,Silver_Lag_1,Silver_Lag_2,Silver_Lag_3,Gold_Silver_Ratio,Gold_Silver_Ratio_SMA,Gold_SP500_Ratio,Gold_Silver_Corr,SP500_Returns,SP500_Volatility,SP500_SMA_50,SP500_Trend,SP500_Lag_1,SP500_Lag_2,SP500_Lag_3,EUR_USD_Change,EUR_USD_SMA_20,USD_Strength,EUR_USD_Lag_1,EUR_USD_Lag_2,EUR_USD_Lag_3,Oil_Returns,Oil_SMA_20,Oil_Volatility,Oil_Lag_1,Oil_Lag_2,Oil_Lag_3,Risk_On_Indicator,High_Volatility,Year,Month,Quarter,DayOfWeek,Month_Sin,Month_Cos
2010-03-24,106.94,107.07,106.24,106.3,14235437.0,16.57,130279.0,116.84,196061714.0,1.3347,38.94,109.27090000000001,108.43652,108.72756796760218,31.630170316301673,-0.2503719568828302,0.05885558801115336,-1.8648449039881831,1.0081113753900175,108.32,107.75,108.28,109.59,108.36,16.975995,-2.6439482961222005,17.02,16.9,16.97,6.4152082076041035,6.438863519643202,0.9097911674084217,0.9095301412633621,-0.4854782386508716,0.5204096960182973,111.79260000000001,1,117.41,116.59,115.97,-1.388991503509418,1.360525,1.388991503509418,1.3535,1.3531,1.353,-1.9143576826196607,39.372499999999995,1.4382844190715431,39.7,39.56,39.2,0,0,2010,3,1,2,1.0,6.123233995736766e-17
2010-03-25,107.0,107.25,106.48,106.78,16863466.0,16.61,105138.0,116.65,223197727.0,1.3344,38.9,109.19440000000002,108.33152,108.54208530402103,34.24550430023454,-0.37155497408804194,-0.0272265244086857,0.4515522107243708,0.99160144946234,106.3,108.32,107.75,110.34,110.4,17.001995,0.24140012070006378,16.57,17.02,16.9,6.428657435279952,6.423720878666366,0.9153879125589369,0.8966335766411331,-0.16261554262239075,0.5215510336213327,111.82699999999998,1,116.84,117.41,116.59,-0.022476961114858973,1.3598649999999999,0.022476961114858973,1.3347,1.3535,1.3531,-0.10272213662043672,39.412,1.3372083028691595,38.94,39.7,39.56,-1,0,2010,3,1,3,1.0,6.123233995736766e-17
2010-03-26,107.16,108.7,106.82,108.59,17433561.0,16.92,238954.0,116.58,205625701.0,1.3398,38.83,109.15239999999999,108.28612,108.54664860839998,45.28163862472571,-0.31787722433043086,-0.08535666439303473,1.6950739838921258,1.040044330591039,106.78,106.3,108.32,108.28,109.59,17.026995,1.866345574954864,16.61,16.57,17.02,6.417848699763593,6.411391632777567,0.9314633727912164,0.9057354862312521,-0.06000857265324733,0.5247758179566985,111.8858,1,116.65,116.84,117.41,0.4046762589928088,1.358555,-0.4046762589928088,1.3344,1.3347,1.3535,-0.17994858611825038,39.4125,1.2728182875489353,38.9,38.94,39.7,-1,0,2010,3,1,4,1.0,6.123233995736766e-17
2010-03-29,108.87,109.17,108.4,108.75,11526946.0,17.35,106934.0,117.32,134431758.0,1.3465,39.96,109.1184,108.24392,108.56601540759998,46.45888206028678,-0.2594359420493504,-0.12017251992429787,0.14734321760752067,1.0408148146432148,108.59,106.78,106.3,107.75,110.34,17.074995,2.541371158392436,16.92,16.61,16.57,6.268011527377521,6.390960604509469,0.9269519263552677,0.8772692824127464,0.6347572482415575,0.5003973265199394,111.9594,1,116.58,116.65,116.84,0.5000746380056764,1.3583,-0.5000746380056764,1.3398,1.3344,1.3347,2.910121040432667,39.492999999999995,1.3928614847996292,38.83,38.9,38.94,0,0,2010,3,1,0,1.0,6.123233995736766e-17
2010-03-30,108.57,108.6615,107.87,107.97,9816459.0,17.27,81770.0,117.4,145681592.0,1.3409,39.95,108.9659,108.17291999999999,108.5092520354476,48.1060606060606,-0.27291429989691096,-0.1507208759188205,-0.7172413793103405,0.9904138568670916,108.75,108.59,106.78,108.32,108.28,17.093995,-0.4610951008645614,17.35,16.92,16.61,6.251881876085698,6.374898688840693,0.9196763202725724,0.8509429750681743,0.06818956699625733,0.5017261400063754,112.00619999999999,1,117.32,116.58,116.65,-0.41589305607130367,1.3575249999999999,0.41589305607130367,1.3465,1.3398,1.3344,-0.025025025025016134,39.5505,1.3751268624118187,39.96,38.83,38.9,1,0,2010,3,1,1,1.0,6.123233995736766e-17
2010-03-31,109.44,109.5,108.85,108.95,13996074.0,17.45,76390.0,117.0,160932206.0,1.3526,40.29,108.83189999999999,108.17312,108.55122803207163,51.24555160142352,-0.20218749422311078,-0.16101419957967855,0.9076595350560268,1.0065413574049389,107.97,108.75,108.59,106.3,107.75,17.109995,1.0422698320787571,17.27,17.35,16.92,6.243553008595989,6.361244465365063,0.9311965811965812,0.8510513444706456,-0.34071550255536653,0.5169617687086573,112.0684,1,117.4,117.32,116.58,0.872548288462971,1.3565,-0.872548288462971,1.3409,1.3465,1.3398,0.8510638297872353,39.595,1.3465940718671356,39.95,39.96,38.83,-1,0,2010,3,1,2,1.0,6.123233995736766e-17
2010-04-01,109.97,110.47,109.92,110.26,11370417.0,17.84,96350.0,117.8,161083608.0,1.3569,41.24,108.80340000000001,108.23092000000001,108.71396821949338,57.85180149558124,-0.039969199245362574,-0.13680519951281536,1.2023864157870712,1.0373289320226915,108.95,107.97,108.75,106.78,108.32,17.146995,2.2349570200573154,17.45,17.27,17.35,6.180493273542601,6.346204801556814,0.935993208828523,0.8583921764105475,0.6837606837606813,0.5276068679760759,112.19040000000001,1,117.0,117.4,117.32,0.31790625462073674,1.35649,-0.31790625462073674,1.3526,1.3409,1.3465,2.357905187391429,39.6995,1.422418626804482,40.29,39.95,39.96,0,0,2010,4,2,3,0.8660254037844387,-0.4999999999999998
2010-04-02,109.97,110.47,109.92,110.26,11370417.0,17.84,96350.0,117.8,161083608.0,1.3487,41.24,108.77590000000001,108.29272,108.8612093414464,56.64335664335666,0.08758039595652178,-0.09192808041894793,0.0,1.0373391783000403,110.26,108.95,107.97,108.59,106.3,17.174495,0.0,17.84,17.45,17.27,6.180493273542601,6.334784121104389,0.935993208828523,0.8647219783665676,0.0,0.44654088341284076,112.36220000000002,1,117.8,117.0,117.4,-0.6043186675510293,1.355885,0.6043186675510293,1.3569,1.3526,1.3409,0.0,39.769,1.3774650077736064,41.24,40.29,39.95,0,0,2010,4,2,4,0.8660254037844387,-0.4999999999999998
2010-04-05,110.56,110.9837,110.27,110.89,8207564.0,18.08,180524.0,118.76,105621743.0,1.3486,42.07,108.82639999999999,108.36092000000001,109.05442749940389,51.90069821567104,0.23677075805535708,-0.026188312724086928,0.5713767458733754,1.0265867845746914,110.26,110.26,108.95,108.75,106.78,17.217995000000002,1.3452914798206095,17.84,17.84,17.45,6.133296460176992,6.322215940045836,0.9337318962613674,0.8657689468619927,0.8149405772495788,0.4687551705285672,112.54199999999999,1,117.8,117.8,117.0,-0.007414547341888511,1.35525,0.007414547341888511,1.3487,1.3569,1.3526,2.0126091173617855,39.882999999999996,1.4338689502706712,41.24,41.24,40.29,0,0,2010,4,2,0,0.8660254037844387,-0.4999999999999998
2010-04-06,110.89,111.51,110.83,111.03,10321993.0,17.94,66513.0,119.04,110194919.0,1.3378,42.02,108.89200000000001,108.43032000000001,109.24257726136541,55.89198036006545,0.3621276427988107,0.0514748783804926,0.12625123996754528,1.025629350297825,110.89,110.26,110.26,107.97,108.59,17.253495,-0.774336283185828,18.08,17.84,17.84,6.188963210702341,6.31327176163725,0.932711693548387,0.8483141703823749,0.23576961940048324,0.46879692859990507,112.7366,1,118.76,117.8,117.8,-0.8008304908794228,1.3542100000000001,0.8008304908794228,1.3486,1.3487,1.3569,-0.11884953648679808,40.0065,1.4220547917013429,42.07,41.24,41.24,0,0,2010,4,2,1,0.8660254037844387,-0.4999999999999998
